Rev YOY % [FY1997],Rev YOY % [FY1998],Rev YOY % [FY1999],Rev YOY % [FY2000],Rev YOY % [FY2001],Rev YOY % [FY2002],Rev YOY % [FY2003],Rev YOY % [FY2004],Rev YOY % [FY2005],Rev YOY % [FY2006],Rev YOY % [FY2007],Rev YOY % [FY2008],Rev YOY % [FY2009],Rev YOY % [FY2010],Rev YOY % [FY2011],Rev YOY % [FY2012],Rev YOY % [FY2013],Rev YOY % [FY2014],Rev YOY % [FY2015],Rev YOY % [FY2016],EBITDA Margin % [FY 1997],EBITDA Margin % [FY 1998],EBITDA Margin % [FY 1999],EBITDA Margin % [FY 2000],EBITDA Margin % [FY 2001],EBITDA Margin % [FY 2002],EBITDA Margin % [FY 2003],EBITDA Margin % [FY 2004],EBITDA Margin % [FY 2005],EBITDA Margin % [FY 2006],EBITDA Margin % [FY 2007],EBITDA Margin % [FY 2008],EBITDA Margin % [FY 2009],EBITDA Margin % [FY 2010],EBITDA Margin % [FY 2011],EBITDA Margin % [FY 2012],EBITDA Margin % [FY 2013],EBITDA Margin % [FY 2014],EBITDA Margin % [FY 2015],EBITDA Margin % [FY 2016]
-,-,-,-,-,-,-,-,-,0,120.5847,109.6778,26.468,27.9176,134.3325,29.2737,38.9339,-10.4482,-21.4514,0.9057,-,-,-,-,-,-,-,-,-,33.0015,34.7266,45.8566,45.9834,47.3579,51.6003,47.3515,41.0926,34.3086,26.5575,22.6729
-,-,-,-,-,-,-,0,16.0371,14.1894,44.8287,48.7079,-17.4804,-44.3222,26.9204,-10.7542,0,12.3298,5.1069,-,-,-,-,-,-,-,-,-,34.7612,36.5172,40.6747,44.0089,35.0967,7.0631,22.1214,21.171,21.7909,20.7576,22.337,-
-,0,50.8634,197.4123,150.6935,120.6135,87.621,28.2274,55.4304,47.4753,22.3713,23.276,1.4223,5.3067,4.4905,3.3051,13.5393,19.104,4.8891,52.2392,-,-,24.8776,40.8077,43.1673,37.5432,44.31,58.5488,55.2297,51.869,54.6654,52.8266,55.4226,55.3729,57.9326,58.3301,58.2349,50.3778,48.8249,30.0461
0,31.7341,39.8895,47.2171,56.0824,37.1997,11.8863,29.0317,17.6966,17.2309,16.576,1.9057,-5.2711,-0.9913,1.0493,-2.6486,15.4253,6.362,7.9093,-,29.4686,18.7951,31.9819,32.5921,42.6909,36.7066,33.6893,43.443,40.3257,38.9497,38.2315,36.9345,37.3912,31.5679,35.0993,31.8673,33.8765,35.8213,31.5564,-
15.407,10.0584,4.3357,-6.1879,2.5598,73.5721,4.3545,2.4353,-1.5332,5.5441,4.3123,2.3109,-14.4893,-10.3787,1.6221,-0.9829,0.8838,10.171,2.1579,-0.0394,19.842,19.4686,18.8864,18.603,17.9975,14.9023,14.2615,13.9291,10.4297,14.3172,15.1866,15.2483,10.2635,13.6,13.2358,11.8764,11.5439,11.5677,11.8473,12.5433
14.3926,1.0934,-0.0103,-4.0117,-3.0632,-0.7629,3.6084,53.9099,24.0611,0.0883,-3.8151,4.2756,-11.5462,-15.1268,-3.2957,-1.295,5.8855,16.073,6.2514,2.8902,8.8681,9.2044,8.054,11.3779,10.3884,10.3469,12.7634,12.1784,11.6923,12.6386,15.2438,17.4716,14.2796,14.2201,13.3109,12.813,11.8712,12.1769,12.3249,11.3793
9.4636,7.0699,-5.2692,1.2363,6.5165,-12.8474,9.4568,-9.579,4.3359,-4.4353,13.4836,9.4693,-8.8537,-0.9757,17.3917,0,-15.0526,0,-1.7074,-,11.3207,12.4718,-,21.2518,24.144,18.5009,23.3866,21.6103,26.1578,26.8388,36.2303,37.8507,35.8965,43.2799,43.4024,33.6562,24.008,15.9067,22.7086,-
11.2919,8.5373,-15.3309,1.0494,15.7602,-16.297,1.5432,16.3174,17.7041,4.2959,14.2622,3.6197,-8.3903,-35.8428,32.1022,3.4576,1.0654,17.1359,10.0621,2.7756,3.9969,4.9739,0.262,-,6.643,1.4162,5.775,7.0159,7.7602,9.6858,10.9851,11.5529,8.2341,0.3867,6.7145,7.323,6.8257,9.6039,10.951,12.4072
-2.1523,4.4209,-11.9575,-0.5042,10.522,-18.3287,-3.1591,11.7411,5.2472,-1.1642,5.6193,0.1266,-24.1771,-18.643,-2.5449,-2.1198,0,5.9865,11.8069,-9.2269,11.793,10.54,1.0053,9.2057,10.4783,3.4414,7.0534,8.435,8.9268,6.4611,4.0177,5.208,2.755,6.5987,4.8177,5.9173,5.7941,8.486,8.679,6.7256
14.6428,12.2414,-2.9321,-0.2642,0.6852,-15.9885,6.0216,8.4195,0.3142,20.875,8.4062,0.4941,-16.0323,11.1985,8.2683,-6.993,4.5522,15.6122,9.9575,6.4379,19.2703,-,18.8208,19.0451,17.6563,7.7246,14.3628,16.3521,16.1814,15.8313,16.8715,16.5225,8.153,14.5301,16.1505,12.1404,11.6943,12.1606,14.1061,15.3297
0,-8.1971,-5.5038,-0.7654,4.4024,-1.9024,-3.9219,-11.9591,11.564,-0.9415,19.0632,7.1224,-17.9537,-16.2263,-9.6938,-10.784,-9.0362,3.4596,-2.7422,6.8718,-,8.1675,6.2625,10.8249,9.3168,8.9205,8.1133,6.2497,7.5874,8.1216,14.9665,15.6028,14.0291,9.7713,3.4297,1.1614,1.6239,4.5475,5.1239,1.4263
18.3182,10.6929,9.7621,-1.3537,4.7762,-5.723,11.3921,2.9676,3.8657,10.2515,-0.2096,-2.1847,-22.1844,-8.415,11.5527,-4.3889,3.784,25.2439,9.3885,3.3961,8.6348,9.9617,12.0664,10.4726,9.8153,8.3997,11.8586,11.1095,11.4265,11.6157,8.6711,8.3416,0.6341,5.3849,8.6407,6.6343,5.2016,7.7526,10.8927,10.7298
8.0498,8.8454,-8.2053,11.8374,12.5286,-11.8499,5.7713,13.1327,4.0624,0.4712,11.4504,0.9328,-13.9249,-15.9157,2.847,2.7786,3.9534,11.6597,4.4609,1.9566,4.0966,3.9789,-,6.1512,8.4739,5.1732,4.8764,8.5626,10.0991,10.4004,10.558,11.4621,6.9908,5.8915,7.6518,8.7722,9.171,10.1541,10.9179,13.2365
10.1674,59.6697,-44.9476,11.8992,74.3697,-65.5553,2.6206,78.2463,37.4364,6.0487,-7.4472,-22.2308,-58.0603,-30.5629,87.1939,41.5661,-5.7747,-15.8199,46.4121,-1.033,28.8973,34.294,26.6069,27.5618,38.9617,-27.1051,-5.9351,24.8642,28.819,28.6438,27.6607,17.2635,-17.081,-13.7623,10.3579,10.6531,6.127,-13.0552,13.1133,10.618
10.4472,1.4755,0.0019,12.0359,58.1358,-19.4918,3.4019,6.641,2.8791,-0.0099,9.4033,0.5093,-12.5423,-4.854,17.9845,-6.0031,7.4889,13.0709,5.4697,-3.073,23.2377,19.4633,15.3084,18.5193,21.8957,13.5377,14.8357,15.5098,13.9366,14.7315,16.9237,18.5569,12.8962,13.6215,18.0105,15.0524,13.4533,13.7555,12.3257,13.0365
