Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
12.0549,0,17.2445,17.0668,18.1592,-,49.6963,15.7359,23.8378,23.9858,18.8663,21.9462,-,85.8653,19.9606,-,842.6778,46.3777,20.3661,21.3858,0,0,0,0,26.59484,9.23737,12.59913,18.60442,16.67914,9.52666,0.31922,391.54073,0.14963,0.15961,0,132.27593,2.76323,0,0,0
0,0,0,18.9268,20.8001,35.0458,-,80.8463,63.9647,77.2501,9.593,11.4631,39.1627,51.8217,-,-,-,0.1239,11.4479,-,0,0,0,0,0,0,0.09976,0.01995,0.0399,0.0399,0.14963,0.27932,0.17956,0.01995,0.01995,0,0,0,0,50.02743
11.0813,34.8425,18.5078,-,15.9681,56.9926,11.3458,12.784,13.2699,19.1308,73.2818,81.1226,-,0,16.0919,85.8443,-,0,5.1584,9.5122,0,0,0,0,0,0,0,0,0,0.43893,29.97656,0,0,0,0,0,0,0,0,0
0,0,0,32.0103,7.2355,-,-,7.4976,19.4388,15.4962,26.188,34.8761,-,-,-,0.0672,16.687,22.9478,17.912,16.1665,0,0,0,0,0,24.44012,77.33054,2.02504,1.62602,0.27932,0.23941,65.86862,0.09976,0.13966,0.10973,0.04988,0.00998,0.06983,0.0399,0.0399
0,0,17.0538,16.1348,8.4166,-,-,14.2073,12.8867,11.1712,21.0034,64.6223,-,-,55.6433,-,-,-,10.3981,52.1063,0,0,30.92424,6.05517,2.25448,0.42895,107.06769,0.30924,543.77775,0.56861,0.67834,364.74638,0.05985,0.0399,102.42905,0,0,0,0,0
28.5805,25.483,43.3811,24.2288,5.6142,39.9743,30.0789,18.1711,27.4766,29.3747,19.372,22.9066,82.1798,58.703,19.3175,32.6045,36.6103,32.2502,28.2243,40.234,0,0,0,96.90259,17.31757,6.26465,419.07328,0.32919,1.69585,1.69585,2.50387,2.10484,381.25593,0.58856,0.68831,5.3868,0,0,0,0
0,0,0,7.0186,8.7573,19.0476,40.2406,-,-,37.7812,9.2088,11.1999,-,-,-,-,43.95,16.8121,10.7519,7.9655,0,0,0,0,0,0.57858,2.29438,9.97556,0.63844,0.57858,1.08734,1.19707,20.38007,0.17956,0.27932,0.0399,0.0798,0.02993,0,0
0,0,0,0,0,-,0,0,4.7945,11.9453,13.6794,80.4238,-,0,0,25.5984,-,0,5.8736,8.828,0,0,0,0.00998,0,0.06983,0.82797,1.01751,0.39902,6.71355,69.9586,43.1044,0.15961,0.04988,0.10973,0.04988,0.0399,0.05985,0.10973,10.07532
24.8599,25.3327,24.8213,18.1143,14.962,13.5066,14.0333,12.1352,17.7922,16.6685,16.3259,21.2543,387.7488,84.5215,128.5185,-,46.8968,32.8558,35.4204,39.7125,0,0,0,0,0,10.51424,172.38765,113.83112,105.98035,106.26964,7.97047,157.31458,6.42426,1.82553,1.56616,0.22944,0.38905,1.42651,0.18954,0.15961
0,0,0,75.5346,24.6025,-,47.3186,16.0236,19.0382,21.0444,78.5724,42.6696,-,54.4655,43.7439,31.5666,-,14.8617,29.4957,40.1257,0,0,0,2.58367,0,26.46516,57.64876,0.75814,26.71455,171.4699,299.53614,0.68831,199.73066,0.02993,0.0399,0.00998,0.00998,0.05985,0.05985,49.93765
